PIMMS_m/z,RT_PIMMS,CCS_PIMMS,DT_PIMMS,PIMMS_Intensity,Compound,Match_ID,Classification Type,Sample,RT,DT,CCS,Peak_mz,Peak_intensity,SourceFile,Peak_mz_1,Intensity_1,Peak_mz_2,Intensity_2,Intensity_3,Kaufman_C,m_over_C,mass_defect,md_over_C
244.9074,6.4,136.7,17.86,30079.999,39,No Match,unmatched,134 1894 - Serum.d.DeMP,6.39,17.8568286895752,136.739929199219,244.90804,30080.0,134 1894 - Serum.d.DeMP.cef,244.90804,30080.0,245.91031,2175.0,29068.0,6.487858308754044,37.74867272756966,-0.09196000000000026,-0.014174168982069009
244.9074,6.4,136.7,17.86,30079.999,39,No Match,unmatched,134 1894 - Serum.d.DeMP,6.39,17.8568286895752,136.739929199219,245.91031,2175.0,134 1894 - Serum.d.DeMP.cef,244.90804,30080.0,245.91031,2175.0,29068.0,6.487858308754044,37.74867272756966,-0.09196000000000026,-0.014174168982069009
244.9074,6.4,136.7,17.86,30079.999,39,No Match,unmatched,134 1894 - Serum.d.DeMP,6.39,17.8568286895752,136.739929199219,246.90523,29068.0,134 1894 - Serum.d.DeMP.cef,244.90804,30080.0,245.91031,2175.0,29068.0,6.487858308754044,37.74867272756966,-0.09196000000000026,-0.014174168982069009
244.9074,6.4,136.7,17.86,30079.999,39,No Match,unmatched,134 1894 - Serum.d.DeMP,6.39,17.8568286895752,136.739929199219,247.90732,2205.0,134 1894 - Serum.d.DeMP.cef,244.90804,30080.0,245.91031,2175.0,29068.0,6.487858308754044,37.74867272756966,-0.09196000000000026,-0.014174168982069009
244.9074,6.4,136.7,17.86,30079.999,39,No Match,unmatched,134 1894 - Serum.d.DeMP,6.39,17.8568286895752,136.739929199219,248.90197,8511.0,134 1894 - Serum.d.DeMP.cef,244.90804,30080.0,245.91031,2175.0,29068.0,6.487858308754044,37.74867272756966,-0.09196000000000026,-0.014174168982069009
244.9074,6.4,136.7,17.86,30079.999,39,No Match,unmatched,134 1894 - Serum.d.DeMP,6.39,17.8568286895752,136.739929199219,249.90386,572.0,134 1894 - Serum.d.DeMP.cef,244.90804,30080.0,245.91031,2175.0,29068.0,6.487858308754044,37.74867272756966,-0.09196000000000026,-0.014174168982069009
244.9074,6.4,136.7,17.86,30079.999,39,No Match,unmatched,134 1894 - Serum.d.DeMP,6.39,17.8568286895752,136.739929199219,250.89813,663.0,134 1894 - Serum.d.DeMP.cef,244.90804,30080.0,245.91031,2175.0,29068.0,6.487858308754044,37.74867272756966,-0.09196000000000026,-0.014174168982069009
244.9074,6.4,136.7,17.86,29715.999,42,No Match,unmatched,137 3330 - Serum.d.DeMP,6.39,17.8568286895752,136.739929199219,244.90822,29716.0,137 3330 - Serum.d.DeMP.cef,244.90822,29716.0,245.91044,2350.0,29287.0,7.095735849245746,34.5148445775406,-0.09177999999999997,-0.012934528842382977
244.9074,6.4,136.7,17.86,29715.999,42,No Match,unmatched,137 3330 - Serum.d.DeMP,6.39,17.8568286895752,136.739929199219,245.91044,2350.0,137 3330 - Serum.d.DeMP.cef,244.90822,29716.0,245.91044,2350.0,29287.0,7.095735849245746,34.5148445775406,-0.09177999999999997,-0.012934528842382977
244.9074,6.4,136.7,17.86,29715.999,42,No Match,unmatched,137 3330 - Serum.d.DeMP,6.39,17.8568286895752,136.739929199219,246.90538,29287.0,137 3330 - Serum.d.DeMP.cef,244.90822,29716.0,245.91044,2350.0,29287.0,7.095735849245746,34.5148445775406,-0.09177999999999997,-0.012934528842382977
244.9074,6.4,136.7,17.86,29715.999,42,No Match,unmatched,137 3330 - Serum.d.DeMP,6.39,17.8568286895752,136.739929199219,247.90772,2332.0,137 3330 - Serum.d.DeMP.cef,244.90822,29716.0,245.91044,2350.0,29287.0,7.095735849245746,34.5148445775406,-0.09177999999999997,-0.012934528842382977
244.9074,6.4,136.7,17.86,29715.999,42,No Match,unmatched,137 3330 - Serum.d.DeMP,6.39,17.8568286895752,136.739929199219,248.90214,8255.0,137 3330 - Serum.d.DeMP.cef,244.90822,29716.0,245.91044,2350.0,29287.0,7.095735849245746,34.5148445775406,-0.09177999999999997,-0.012934528842382977
244.9074,6.4,136.7,17.86,29715.999,42,No Match,unmatched,137 3330 - Serum.d.DeMP,6.39,17.8568286895752,136.739929199219,249.90463,589.0,137 3330 - Serum.d.DeMP.cef,244.90822,29716.0,245.91044,2350.0,29287.0,7.095735849245746,34.5148445775406,-0.09177999999999997,-0.012934528842382977
244.9074,6.4,136.7,17.86,29715.999,42,No Match,unmatched,137 3330 - Serum.d.DeMP,6.39,17.8568286895752,136.739929199219,250.89864,711.0,137 3330 - Serum.d.DeMP.cef,244.90822,29716.0,245.91044,2350.0,29287.0,7.095735849245746,34.5148445775406,-0.09177999999999997,-0.012934528842382977
244.9074,6.4,136.7,17.86,2643.999,40,No Match,unmatched,139 3330 - DBS.d.DeMP,6.39,17.8568286895752,136.739929199219,244.9076,2644.0,139 3330 - DBS.d.DeMP.cef,244.9076,2644.0,245.91041,186.0,2547.0,6.312064391201388,38.79992104348388,-0.09239999999999782,-0.014638633935483529
